the
of
and
in
is
a
to
for
we
that
with
by
are
as
this
be
on
at
from
can
which
an
it
have
not
where
one
two
these
fig
if
has
also
or
our
model
energy
all
then
time
between
such
case
eq
only
field
function
than
will
given
see
mass
order
there
using
state
data
was
results
each
first
et
more
but
density
system
al
number
when
other
been
different
since
its
same
so
section
large
both
however
value
values
let
used
phase
into
may
some
set
non
their
thus
shown
equation
any
phys
point
figure
line
well
small
distribution
obtained
high
states
here
form
following
no
were
space
above
show
temperature
over
due
models
very
they
observed
quantum
therefore
parameters
while
low
use
magnetic
spin
result
b
would
region
consider
terms
note
theory
three
galaxies
most
structure
defined
found
because
parameter
potential
range
limit
stars
corresponding
present
emission
now
constant
shows
star
similar
based
out
matrix
scale
respectively
zero
analysis
velocity
paper
single
spectrum
second
find
systems
functions
within
possible
rate
surface
solution
even
follows
obtain
should
total
up
about
x
properties
particle
effect
term
study
lines
us
gas
method
equations
problem
new
does
initial
general
type
work
through
finite
example
theorem
linear
interaction
lower
factor
transition
higher
power
i
larger
size
evolution
like
under
sec
flux
particular
points
those
local
fact
do
wave
source
part
observations
light
effects
ray
after
mean
sample
coupling
hence
electron
momentum
along
frequency
c
level
below
effective
process
could
galaxy
probability
conditions
boundary
particles
ratio
important
much
component
disk
approach
condition
free
standard
distance
way
known
fields
assume
described
strong
many
d
m
optical
current
right
vector
length
spectra
lattice
numerical
average
matter
fixed
spectral
formation
cluster
expected
radius
relation
scattering
must
group
simulations
stellar
correlation
symmetry
further
simple
dependence
sources
dimensional
independent
associated
approximation
main
considered
table
hand
near
band
dynamics
long
measured
cases
fit
around
behavior
critical
seen
real
cross
information
determined
consistent
smaller
positive
plane
difference
left
contribution
regions
solutions
random
gives
calculated
respect
experimental
define
several
being
decay
lemma
s
black
measurements
components
without
curve
operator
less
times
mode
although
previous
becomes
change
calculations
bound
physical
discussed
direction
close
four
compared
ref
how
maximum
during
presented
noise
hamiltonian
related
k
estimate
luminosity
complex
background
relative
ii
upper
error
derived
photon
amplitude
finally
clusters
equal
still
every
flow
map
central
elements
them
edge
interactions
charge
modes
corresponds
position
either
peak
motion
next
algorithm
classical
implies
measure
angle
self
signal
called
magnitude
taken
least
give
proof
energies
thermal
take
account
physics
denote
hole
pair
angular
curves
objects
sequence
law
sum
means
significant
step
full
redshift
fraction
gauge
expansion
ground
radio
presence
quark
masses
weak
graph
resolution
studied
rather
center
class
another
theoretical
expression
definition
negative
applied
indeed
leads
according
calculation
final
regime
exists
good
via
solid
basis
additional
provide
before
hep
get
comparison
increase
processes
various
need
equilibrium
increases
core
dependent
de
gaussian
measurement
increasing
fluctuations
scalar
absorption
addition
side
variables
integral
few
depends
distributions
dark
methods
what
features
moreover
h
channel
axis
studies
simulation
resulting
spatial
experiments
equivalent
radiation
image
t
degree
width
operators
again
recent
agreement
dust
symmetric
including
profile
action
period
network
made
scales
scaling
best
red
vertex
pressure
normal
performed
population
make
assumed
whose
proposed
clearly
short
leading
events
coefficients
determine
electrons
panel
index
per
far
reduced
exact
dynamical
loop
just
last
minimum
volume
end
induced
n
off
invariant
contributions
rotation
polarization
gap
variable
interesting
shape
typical
describe
strength
sets
contains
beam
top
production
radial
series
direct
nature
accretion
nuclear
force
open
generated
atoms
changes
diagram
required
clear
continuum
scheme
element
color
formula
images
detected
stable
discuss
strongly
e
galactic
assuming
enough
complete
extended
assumption
neutrino
procedure
calculate
already
specific
continuous
almost
available
recently
structures
allows
path
test
taking
down
chosen
solar
might
latter
yields
fermi
dashed
choice
apj
temperatures
unit
instead
product
vertices
rates
always
gev
massive
significantly
directly
written
body
metric
configuration
representation
numbers
errors
jet
orbital
area
detection
whether
domain
dimension
half
constraints
rev
loss
lead
description
connected
furthermore
become
estimated
gravitational
binary
dispersion
provides
relevant
eqs
lett
blue
neutron
resonance
appears
molecular
inner
ngc
holds
introduced
densities
provided
observation
appear
details
frame
corrections
existence
true
universe
together
correlations
prove
statistical
differential
role
tensor
entropy
better
likely
include
depend
external
support
coefficient
useful
compact
photons
relatively
natural
produced
detailed
pairs
mev
arbitrary
compare
mechanism
edges
interval
among
threshold
square
correspond
quite
suppose
individual
halo
cm
closed
property
easily
event
computed
discussion
exist
factors
global
feature
orbit
observe
r
intensity
experiment
necessary
column
bulk
geometry
p
proposition
input
site
double
coupled
plot
periodic
remains
origin
research
write
medium
control
exactly
hard
contrast
g
transverse
